model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,costPerCandidate,costPerValid,costPerUnique,costPerSurvivor,costPerNonEquivSurvivor,costPerMutationScorePoint,predictedEquivalent,nonEquivSurvivors
openai_gpt-4o-mini,spacl-core,2,run2,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,0.00009424418604651164,0.00015009259259259262,0.0001592685589519651,0.0020262500000000003,0.0040525000000000005,0.0003969147894221352,9,9
openai_gpt-4o-mini,zip-a-folder,2,run2,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,0.00010948655172413792,0.00016035909090909088,0.00016366546391752577,0.0039688875,0.0039688875,0.00016543924551896624,0,4
openai_gpt-4o-mini,Complex.js,3,run3,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,0.00012614591397849462,0.00016430770308123249,0.00017668027108433732,0.00043130772058823526,0.00046066374345549735,0.002842868336025848,26,382
openai_gpt-4o-mini,countries-and-timezones,3,run3,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,0.00008192951612903226,0.00011188612334801762,0.00011597328767123289,0.0006047178571428572,0.0016932100000000001,0.00031163374233128836,27,15
openai_gpt-4o-mini,node-jsonfile,3,run3,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,0.00007632272727272728,0.00009812922077922079,0.00010210743243243244,0.0005397107142857143,0.0006570391304347827,0.00018469689562454172,5,23
openai_gpt-4o-mini,pull-stream,3,run3,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,0.00006545643133462281,0.00008952638888888887,0.0000918343962008141,0.00027967747933884296,0.0002831880753138075,0.000995469186645095,3,239
openai_gpt-4o-mini,spacl-core,3,run3,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,0.00009424418604651164,0.00015009259259259262,0.0001592685589519651,0.0020262500000000003,0.0040525000000000005,0.0003969147894221352,9,9
openai_gpt-4o-mini,zip-a-folder,3,run3,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,0.00010948655172413792,0.00016035909090909088,0.00016366546391752577,0.0039688875,0.0039688875,0.00016543924551896624,0,4
openai_gpt-4o-mini,Complex.js,4,run4,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,0.00012614591397849462,0.00016430770308123249,0.00017668027108433732,0.00043130772058823526,0.00046066374345549735,0.002842868336025848,26,382
openai_gpt-4o-mini,countries-and-timezones,4,run4,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,0.00008192951612903226,0.00011188612334801762,0.00011597328767123289,0.0006047178571428572,0.0016932100000000001,0.00031163374233128836,27,15
openai_gpt-4o-mini,node-jsonfile,4,run4,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,0.00007632272727272728,0.00009812922077922079,0.00010210743243243244,0.0005397107142857143,0.0006570391304347827,0.00018469689562454172,5,23
openai_gpt-4o-mini,pull-stream,4,run4,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,0.00006545643133462281,0.00008952638888888887,0.0000918343962008141,0.00027967747933884296,0.0002831880753138075,0.000995469186645095,3,239
openai_gpt-4o-mini,spacl-core,4,run4,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,0.00009424418604651164,0.00015009259259259262,0.0001592685589519651,0.0020262500000000003,0.0040525000000000005,0.0003969147894221352,9,9
openai_gpt-4o-mini,zip-a-folder,4,run4,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,0.00010948655172413792,0.00016035909090909088,0.00016366546391752577,0.0039688875,0.0039688875,0.00016543924551896624,0,4
openai_gpt-4o-mini,Complex.js,5,run5,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,0.00012614591397849462,0.00016430770308123249,0.00017668027108433732,0.00043130772058823526,0.00046066374345549735,0.002842868336025848,26,382
openai_gpt-4o-mini,countries-and-timezones,5,run5,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,0.00008192951612903226,0.00011188612334801762,0.00011597328767123289,0.0006047178571428572,0.0016932100000000001,0.00031163374233128836,27,15
openai_gpt-4o-mini,node-jsonfile,5,run5,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,0.00007632272727272728,0.00009812922077922079,0.00010210743243243244,0.0005397107142857143,0.0006570391304347827,0.00018469689562454172,5,23
openai_gpt-4o-mini,pull-stream,5,run5,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,0.00006545643133462281,0.00008952638888888887,0.0000918343962008141,0.00027967747933884296,0.0002831880753138075,0.000995469186645095,3,239
openai_gpt-4o-mini,spacl-core,5,run5,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,0.00009424418604651164,0.00015009259259259262,0.0001592685589519651,0.0020262500000000003,0.0040525000000000005,0.0003969147894221352,9,9
openai_gpt-4o-mini,zip-a-folder,5,run5,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,0.00010948655172413792,0.00016035909090909088,0.00016366546391752577,0.0039688875,0.0039688875,0.00016543924551896624,0,4
