model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
openai_gpt-4o-mini,spacl-core,2,run2,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,243,6,3,10,0.4117647058823529,0.17752100840336135,0.7416666666666667
openai_gpt-4o-mini,zip-a-folder,2,run2,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,99,7,4.5,13,0.41025641025641024,0.18518518518518517,0.8260869565217391
openai_gpt-4o-mini,Complex.js,3,run3,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,1071,4,2,8,0.5555555555555556,0.2857142857142857,0.8636363636363636
openai_gpt-4o-mini,countries-and-timezones,3,run3,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,227,9,6,15,0.5714285714285714,0.38196286472148544,0.873015873015873
openai_gpt-4o-mini,node-jsonfile,3,run3,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,154,8,5,15,0.7416666666666667,0.3157142857142857,0.9
openai_gpt-4o-mini,pull-stream,3,run3,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,756,6,4,10,0.75,0.3782327586206896,0.9090909090909091
openai_gpt-4o-mini,spacl-core,3,run3,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,243,6,3,10,0.4117647058823529,0.17752100840336135,0.7416666666666667
openai_gpt-4o-mini,zip-a-folder,3,run3,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,99,7,4.5,13,0.41025641025641024,0.18518518518518517,0.8260869565217391
openai_gpt-4o-mini,Complex.js,4,run4,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,1071,4,2,8,0.5555555555555556,0.2857142857142857,0.8636363636363636
openai_gpt-4o-mini,countries-and-timezones,4,run4,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,227,9,6,15,0.5714285714285714,0.38196286472148544,0.873015873015873
openai_gpt-4o-mini,node-jsonfile,4,run4,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,154,8,5,15,0.7416666666666667,0.3157142857142857,0.9
openai_gpt-4o-mini,pull-stream,4,run4,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,756,6,4,10,0.75,0.3782327586206896,0.9090909090909091
openai_gpt-4o-mini,spacl-core,4,run4,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,243,6,3,10,0.4117647058823529,0.17752100840336135,0.7416666666666667
openai_gpt-4o-mini,zip-a-folder,4,run4,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,99,7,4.5,13,0.41025641025641024,0.18518518518518517,0.8260869565217391
openai_gpt-4o-mini,Complex.js,5,run5,,490,1395,1071,307,17,75,76.77419354838709,5.376344086021505,22.00716845878136,61.9,663,408,0,311.454,788189,96242,0.17597354999999998,1071,4,2,8,0.5555555555555556,0.2857142857142857,0.8636363636363636
openai_gpt-4o-mini,countries-and-timezones,5,run5,,106,310,227,81,2,8,73.22580645161291,2.5806451612903225,26.129032258064516,81.5,185,42,0,235.337,82293,21757,0.02539815,227,9,6,15,0.5714285714285714,0.38196286472148544,0.873015873015873
openai_gpt-4o-mini,node-jsonfile,5,run5,,68,198,154,44,0,6,77.77777777777779,3.0303030303030303,22.22222222222222,81.82,61,28,65,456.736,46918,13457,0.015111900000000001,154,8,5,15,0.7416666666666667,0.3157142857142857,0.9
openai_gpt-4o-mini,pull-stream,5,run5,,351,1034,756,267,11,19,73.11411992263056,1.83752417794971,25.822050290135394,67.99,457,242,57,1143.881,171725,69872,0.06768194999999999,756,6,4,10,0.75,0.3782327586206896,0.9090909090909091
openai_gpt-4o-mini,spacl-core,5,run5,,134,387,243,137,7,14,62.7906976744186,3.6175710594315245,35.400516795865634,91.89,204,18,0,978.021,137862,26322,0.036472500000000005,243,6,3,10,0.4117647058823529,0.17752100840336135,0.7416666666666667
openai_gpt-4o-mini,zip-a-folder,5,run5,,49,145,99,45,1,2,68.27586206896552,1.3793103448275863,31.03448275862069,95.96,22,4,73,941.47,65869,9992,0.01587555,99,7,4.5,13,0.41025641025641024,0.18518518518518517,0.8260869565217391
